position([12 , 0])
revealed([30 , 13])
revealed([30 , 14])
revealed([30 , 15])
revealed([30 , 16])
revealed([30 , 17])
revealed([30 , 18])
revealed([30 , 19])
revealed([30 , 20])
revealed([30 , 21])
revealed([30 , 22])
revealed([30 , 23])
revealed([30 , 24])
revealed([0 , 24])
revealed([1 , 24])
revealed([2 , 24])
revealed([3 , 24])
revealed([4 , 24])
revealed([5 , 24])
revealed([6 , 24])
revealed([7 , 24])
revealed([8 , 24])
revealed([9 , 24])
revealed([10 , 24])
revealed([11 , 24])
revealed([12 , 24])
revealed([13 , 24])
revealed([14 , 24])
revealed([15 , 24])
revealed([16 , 24])
revealed([17 , 24])
revealed([18 , 24])
revealed([19 , 24])
revealed([20 , 24])
revealed([21 , 24])
revealed([22 , 24])
revealed([23 , 24])
revealed([24 , 24])
revealed([25 , 24])
revealed([26 , 24])
revealed([27 , 24])
revealed([28 , 24])
revealed([29 , 24])
revealed([29 , 23])
revealed([29 , 0])
revealed([29 , 1])
revealed([29 , 2])
revealed([29 , 3])
revealed([29 , 4])
revealed([29 , 5])
revealed([29 , 6])
revealed([29 , 7])
revealed([29 , 8])
revealed([29 , 9])
revealed([29 , 10])
revealed([29 , 11])
revealed([29 , 12])
revealed([29 , 13])
revealed([29 , 14])
revealed([29 , 15])
revealed([29 , 16])
revealed([29 , 17])
revealed([29 , 18])
revealed([29 , 19])
revealed([29 , 20])
revealed([29 , 21])
revealed([29 , 22])
revealed([28 , 0])
revealed([28 , 1])
revealed([28 , 2])
revealed([28 , 3])
revealed([28 , 4])
revealed([28 , 5])
revealed([28 , 6])
revealed([28 , 7])
revealed([28 , 8])
revealed([28 , 9])
revealed([28 , 10])
revealed([28 , 11])
revealed([28 , 12])
revealed([28 , 13])
revealed([28 , 14])
revealed([28 , 15])
revealed([28 , 16])
revealed([28 , 17])
revealed([28 , 18])
revealed([28 , 19])
revealed([28 , 20])
revealed([28 , 21])
revealed([28 , 22])
revealed([28 , 23])
revealed([0 , 23])
revealed([1 , 23])
revealed([2 , 23])
revealed([3 , 23])
revealed([4 , 23])
revealed([5 , 23])
revealed([6 , 23])
revealed([7 , 23])
revealed([8 , 23])
revealed([9 , 23])
revealed([10 , 23])
revealed([11 , 23])
revealed([12 , 23])
revealed([13 , 23])
revealed([14 , 23])
revealed([15 , 23])
revealed([16 , 23])
revealed([17 , 23])
revealed([18 , 23])
revealed([19 , 23])
revealed([20 , 23])
revealed([21 , 23])
revealed([22 , 23])
revealed([23 , 23])
revealed([24 , 23])
revealed([25 , 23])
revealed([26 , 23])
revealed([27 , 23])
revealed([27 , 0])
revealed([27 , 1])
revealed([27 , 2])
revealed([27 , 3])
revealed([27 , 4])
revealed([27 , 5])
revealed([27 , 6])
revealed([27 , 7])
revealed([27 , 8])
revealed([27 , 9])
revealed([27 , 10])
revealed([27 , 11])
revealed([27 , 12])
revealed([27 , 13])
revealed([27 , 14])
revealed([27 , 15])
revealed([27 , 16])
revealed([27 , 17])
revealed([27 , 18])
revealed([27 , 19])
revealed([27 , 20])
revealed([27 , 21])
revealed([27 , 22])
revealed([26 , 0])
revealed([26 , 1])
revealed([26 , 2])
revealed([26 , 3])
revealed([26 , 4])
revealed([26 , 5])
revealed([26 , 6])
revealed([26 , 7])
revealed([26 , 8])
revealed([26 , 9])
revealed([26 , 10])
revealed([26 , 11])
revealed([26 , 12])
revealed([26 , 13])
revealed([26 , 14])
revealed([26 , 15])
revealed([26 , 16])
revealed([26 , 17])
revealed([26 , 18])
revealed([26 , 19])
revealed([26 , 20])
revealed([26 , 21])
revealed([26 , 22])
revealed([25 , 0])
revealed([25 , 1])
revealed([25 , 2])
revealed([25 , 3])
revealed([25 , 4])
revealed([25 , 5])
revealed([25 , 6])
revealed([25 , 7])
revealed([25 , 8])
revealed([25 , 9])
revealed([25 , 10])
revealed([25 , 11])
revealed([25 , 12])
revealed([25 , 13])
revealed([25 , 14])
revealed([25 , 15])
revealed([25 , 16])
revealed([25 , 17])
revealed([25 , 18])
revealed([25 , 19])
revealed([25 , 20])
revealed([25 , 21])
revealed([25 , 22])
revealed([0 , 22])
revealed([1 , 22])
revealed([2 , 22])
revealed([3 , 22])
revealed([4 , 22])
revealed([5 , 22])
revealed([6 , 22])
revealed([7 , 22])
revealed([8 , 22])
revealed([9 , 22])
revealed([10 , 22])
revealed([11 , 22])
revealed([12 , 22])
revealed([13 , 22])
revealed([14 , 22])
revealed([15 , 22])
revealed([16 , 22])
revealed([17 , 22])
revealed([18 , 22])
revealed([19 , 22])
revealed([20 , 22])
revealed([21 , 22])
revealed([22 , 22])
revealed([23 , 22])
revealed([24 , 22])
revealed([24 , 0])
revealed([24 , 1])
revealed([24 , 2])
revealed([24 , 3])
revealed([24 , 4])
revealed([24 , 5])
revealed([24 , 6])
revealed([24 , 7])
revealed([24 , 8])
revealed([24 , 9])
revealed([24 , 10])
revealed([24 , 11])
revealed([24 , 12])
revealed([24 , 13])
revealed([24 , 14])
revealed([24 , 15])
revealed([24 , 16])
revealed([24 , 17])
revealed([24 , 18])
revealed([24 , 19])
revealed([24 , 20])
revealed([24 , 21])
revealed([22 , 21])
revealed([23 , 21])
revealed([23 , 0])
revealed([23 , 1])
revealed([23 , 2])
revealed([23 , 3])
revealed([23 , 4])
revealed([23 , 5])
revealed([23 , 6])
revealed([23 , 7])
revealed([23 , 8])
revealed([23 , 9])
revealed([23 , 10])
revealed([23 , 11])
revealed([23 , 12])
revealed([23 , 13])
revealed([23 , 14])
revealed([23 , 15])
revealed([23 , 16])
revealed([23 , 17])
revealed([23 , 18])
revealed([23 , 19])
revealed([23 , 20])
revealed([22 , 0])
revealed([22 , 1])
revealed([22 , 2])
revealed([22 , 3])
revealed([22 , 4])
revealed([22 , 5])
revealed([22 , 6])
revealed([22 , 7])
revealed([22 , 8])
revealed([22 , 9])
revealed([22 , 10])
revealed([22 , 11])
revealed([22 , 12])
revealed([22 , 13])
revealed([22 , 14])
revealed([22 , 15])
revealed([22 , 16])
revealed([22 , 17])
revealed([22 , 18])
revealed([22 , 19])
revealed([22 , 20])
revealed([21 , 0])
revealed([21 , 1])
revealed([21 , 2])
revealed([21 , 3])
revealed([21 , 4])
revealed([21 , 5])
revealed([21 , 6])
revealed([21 , 7])
revealed([21 , 8])
revealed([21 , 9])
revealed([21 , 10])
revealed([21 , 11])
revealed([21 , 12])
revealed([21 , 13])
revealed([21 , 14])
revealed([21 , 15])
revealed([21 , 16])
revealed([21 , 17])
revealed([21 , 18])
revealed([21 , 19])
revealed([21 , 20])
revealed([21 , 21])
revealed([0 , 21])
revealed([1 , 21])
revealed([2 , 21])
revealed([3 , 21])
revealed([4 , 21])
revealed([5 , 21])
revealed([6 , 21])
revealed([7 , 21])
revealed([8 , 21])
revealed([9 , 21])
revealed([10 , 21])
revealed([11 , 21])
revealed([12 , 21])
revealed([13 , 21])
revealed([14 , 21])
revealed([15 , 21])
revealed([16 , 21])
revealed([17 , 21])
revealed([18 , 21])
revealed([19 , 21])
revealed([20 , 21])
revealed([0 , 0])
revealed([0 , 1])
revealed([0 , 2])
revealed([0 , 3])
revealed([0 , 4])
revealed([0 , 5])
revealed([0 , 6])
revealed([0 , 7])
revealed([0 , 8])
revealed([0 , 9])
revealed([0 , 10])
revealed([0 , 11])
revealed([0 , 12])
revealed([0 , 13])
revealed([0 , 14])
revealed([0 , 15])
revealed([0 , 16])
revealed([0 , 17])
revealed([0 , 18])
revealed([0 , 19])
revealed([0 , 20])
revealed([1 , 0])
revealed([1 , 1])
revealed([1 , 2])
revealed([1 , 3])
revealed([1 , 4])
revealed([1 , 5])
revealed([1 , 6])
revealed([1 , 7])
revealed([1 , 8])
revealed([1 , 9])
revealed([1 , 10])
revealed([1 , 11])
revealed([1 , 12])
revealed([1 , 13])
revealed([1 , 14])
revealed([1 , 15])
revealed([1 , 16])
revealed([1 , 17])
revealed([1 , 18])
revealed([1 , 19])
revealed([1 , 20])
revealed([2 , 0])
revealed([2 , 1])
revealed([2 , 2])
revealed([2 , 3])
revealed([2 , 4])
revealed([2 , 5])
revealed([2 , 6])
revealed([2 , 7])
revealed([2 , 8])
revealed([2 , 9])
revealed([2 , 10])
revealed([2 , 11])
revealed([2 , 12])
revealed([2 , 13])
revealed([2 , 14])
revealed([2 , 15])
revealed([2 , 16])
revealed([2 , 17])
revealed([2 , 18])
revealed([2 , 19])
revealed([2 , 20])
revealed([3 , 0])
revealed([3 , 1])
revealed([3 , 2])
revealed([3 , 3])
revealed([3 , 4])
revealed([3 , 5])
revealed([3 , 6])
revealed([3 , 7])
revealed([3 , 8])
revealed([3 , 9])
revealed([3 , 10])
revealed([3 , 11])
revealed([3 , 12])
revealed([3 , 13])
revealed([3 , 14])
revealed([3 , 15])
revealed([3 , 16])
revealed([3 , 17])
revealed([3 , 18])
revealed([3 , 19])
revealed([3 , 20])
revealed([4 , 0])
revealed([4 , 1])
revealed([4 , 2])
revealed([4 , 3])
revealed([4 , 4])
revealed([4 , 5])
revealed([4 , 6])
revealed([4 , 7])
revealed([4 , 8])
revealed([4 , 9])
revealed([4 , 10])
revealed([4 , 11])
revealed([4 , 12])
revealed([4 , 13])
revealed([4 , 14])
revealed([4 , 15])
revealed([4 , 16])
revealed([4 , 17])
revealed([4 , 18])
revealed([4 , 19])
revealed([4 , 20])
revealed([5 , 0])
revealed([5 , 1])
revealed([5 , 2])
revealed([5 , 3])
revealed([5 , 4])
revealed([5 , 5])
revealed([5 , 6])
revealed([5 , 7])
revealed([5 , 8])
revealed([5 , 9])
revealed([5 , 10])
revealed([5 , 11])
revealed([5 , 12])
revealed([5 , 13])
revealed([5 , 14])
revealed([5 , 15])
revealed([5 , 16])
revealed([5 , 17])
revealed([5 , 18])
revealed([5 , 19])
revealed([5 , 20])
revealed([6 , 0])
revealed([6 , 1])
revealed([6 , 2])
revealed([6 , 3])
revealed([6 , 4])
revealed([6 , 5])
revealed([6 , 6])
revealed([6 , 7])
revealed([6 , 8])
revealed([6 , 9])
revealed([6 , 10])
revealed([6 , 11])
revealed([6 , 12])
revealed([6 , 13])
revealed([6 , 14])
revealed([6 , 15])
revealed([6 , 16])
revealed([6 , 17])
revealed([6 , 18])
revealed([6 , 19])
revealed([6 , 20])
revealed([7 , 0])
revealed([7 , 1])
revealed([7 , 2])
revealed([7 , 3])
revealed([7 , 4])
revealed([7 , 5])
revealed([7 , 6])
revealed([7 , 7])
revealed([7 , 8])
revealed([7 , 9])
revealed([7 , 10])
revealed([7 , 11])
revealed([7 , 12])
revealed([7 , 13])
revealed([7 , 14])
revealed([7 , 15])
revealed([7 , 16])
revealed([7 , 17])
revealed([7 , 18])
revealed([7 , 19])
revealed([7 , 20])
revealed([8 , 0])
revealed([8 , 1])
revealed([8 , 2])
revealed([8 , 3])
revealed([8 , 4])
revealed([8 , 5])
revealed([8 , 6])
revealed([8 , 7])
revealed([8 , 8])
revealed([8 , 9])
revealed([8 , 10])
revealed([8 , 11])
revealed([8 , 12])
revealed([8 , 13])
revealed([8 , 14])
revealed([8 , 15])
revealed([8 , 16])
revealed([8 , 17])
revealed([8 , 18])
revealed([8 , 19])
revealed([8 , 20])
revealed([9 , 0])
revealed([9 , 1])
revealed([9 , 2])
revealed([9 , 3])
revealed([9 , 4])
revealed([9 , 5])
revealed([9 , 6])
revealed([9 , 7])
revealed([9 , 8])
revealed([9 , 9])
revealed([9 , 10])
revealed([9 , 11])
revealed([9 , 12])
revealed([9 , 13])
revealed([9 , 14])
revealed([9 , 15])
revealed([9 , 16])
revealed([9 , 17])
revealed([9 , 18])
revealed([9 , 19])
revealed([9 , 20])
revealed([10 , 0])
revealed([10 , 1])
revealed([10 , 2])
revealed([10 , 3])
revealed([10 , 4])
revealed([10 , 5])
revealed([10 , 6])
revealed([10 , 7])
revealed([10 , 8])
revealed([10 , 9])
revealed([10 , 10])
revealed([10 , 11])
revealed([10 , 12])
revealed([10 , 13])
revealed([10 , 14])
revealed([10 , 15])
revealed([10 , 16])
revealed([10 , 17])
revealed([10 , 18])
revealed([10 , 19])
revealed([10 , 20])
revealed([11 , 0])
revealed([11 , 1])
revealed([11 , 2])
revealed([11 , 3])
revealed([11 , 4])
revealed([11 , 5])
revealed([11 , 6])
revealed([11 , 7])
revealed([11 , 8])
revealed([11 , 9])
revealed([11 , 10])
revealed([11 , 11])
revealed([11 , 12])
revealed([11 , 13])
revealed([11 , 14])
revealed([11 , 15])
revealed([11 , 16])
revealed([11 , 17])
revealed([11 , 18])
revealed([11 , 19])
revealed([11 , 20])
revealed([12 , 0])
revealed([12 , 1])
revealed([12 , 2])
revealed([12 , 3])
revealed([12 , 4])
revealed([12 , 5])
revealed([12 , 6])
revealed([12 , 7])
revealed([12 , 8])
revealed([12 , 9])
revealed([12 , 10])
revealed([12 , 11])
revealed([12 , 12])
revealed([12 , 13])
revealed([12 , 14])
revealed([12 , 15])
revealed([12 , 16])
revealed([12 , 17])
revealed([12 , 18])
revealed([12 , 19])
revealed([12 , 20])
revealed([13 , 0])
revealed([13 , 1])
revealed([13 , 2])
revealed([13 , 3])
revealed([13 , 4])
revealed([13 , 5])
revealed([13 , 6])
revealed([13 , 7])
revealed([13 , 8])
revealed([13 , 9])
revealed([13 , 10])
revealed([13 , 11])
revealed([13 , 12])
revealed([13 , 13])
revealed([13 , 14])
revealed([13 , 15])
revealed([13 , 16])
revealed([13 , 17])
revealed([13 , 18])
revealed([13 , 19])
revealed([13 , 20])
revealed([14 , 0])
revealed([14 , 1])
revealed([14 , 2])
revealed([14 , 3])
revealed([14 , 4])
revealed([14 , 5])
revealed([14 , 6])
revealed([14 , 7])
revealed([14 , 8])
revealed([14 , 9])
revealed([14 , 10])
revealed([14 , 11])
revealed([14 , 12])
revealed([14 , 13])
revealed([14 , 14])
revealed([14 , 15])
revealed([14 , 16])
revealed([14 , 17])
revealed([14 , 18])
revealed([14 , 19])
revealed([14 , 20])
revealed([15 , 0])
revealed([15 , 1])
revealed([15 , 2])
revealed([15 , 3])
revealed([15 , 4])
revealed([15 , 5])
revealed([15 , 6])
revealed([15 , 7])
revealed([15 , 8])
revealed([15 , 9])
revealed([15 , 10])
revealed([15 , 11])
revealed([15 , 12])
revealed([15 , 13])
revealed([15 , 14])
revealed([15 , 15])
revealed([15 , 16])
revealed([15 , 17])
revealed([15 , 18])
revealed([15 , 19])
revealed([15 , 20])
revealed([16 , 0])
revealed([16 , 1])
revealed([16 , 2])
revealed([16 , 3])
revealed([16 , 4])
revealed([16 , 5])
revealed([16 , 6])
revealed([16 , 7])
revealed([16 , 8])
revealed([16 , 9])
revealed([16 , 10])
revealed([16 , 11])
revealed([16 , 12])
revealed([16 , 13])
revealed([16 , 14])
revealed([16 , 15])
revealed([16 , 16])
revealed([16 , 17])
revealed([16 , 18])
revealed([16 , 19])
revealed([16 , 20])
revealed([17 , 0])
revealed([17 , 1])
revealed([17 , 2])
revealed([17 , 3])
revealed([17 , 4])
revealed([17 , 5])
revealed([17 , 6])
revealed([17 , 7])
revealed([17 , 8])
revealed([17 , 9])
revealed([17 , 10])
revealed([17 , 11])
revealed([17 , 12])
revealed([17 , 13])
revealed([17 , 14])
revealed([17 , 15])
revealed([17 , 16])
revealed([17 , 17])
revealed([17 , 18])
revealed([17 , 19])
revealed([17 , 20])
revealed([18 , 0])
revealed([18 , 1])
revealed([18 , 2])
revealed([18 , 3])
revealed([18 , 4])
revealed([18 , 5])
revealed([18 , 6])
revealed([18 , 7])
revealed([18 , 8])
revealed([18 , 9])
revealed([18 , 10])
revealed([18 , 11])
revealed([18 , 12])
revealed([18 , 13])
revealed([18 , 14])
revealed([18 , 15])
revealed([18 , 16])
revealed([18 , 17])
revealed([18 , 18])
revealed([18 , 19])
revealed([18 , 20])
revealed([19 , 0])
revealed([19 , 1])
revealed([19 , 2])
revealed([19 , 3])
revealed([19 , 4])
revealed([19 , 5])
revealed([19 , 6])
revealed([19 , 7])
revealed([19 , 8])
revealed([19 , 9])
revealed([19 , 10])
revealed([19 , 11])
revealed([19 , 12])
revealed([19 , 13])
revealed([19 , 14])
revealed([19 , 15])
revealed([19 , 16])
revealed([19 , 17])
revealed([19 , 18])
revealed([19 , 19])
revealed([19 , 20])
revealed([20 , 0])
revealed([20 , 1])
revealed([20 , 2])
revealed([20 , 3])
revealed([20 , 4])
revealed([20 , 5])
revealed([20 , 6])
revealed([20 , 7])
revealed([20 , 8])
revealed([20 , 9])
revealed([20 , 10])
revealed([20 , 11])
revealed([20 , 12])
revealed([20 , 13])
revealed([20 , 14])
revealed([20 , 15])
revealed([20 , 16])
revealed([20 , 17])
revealed([20 , 18])
revealed([20 , 19])
revealed([20 , 20])
collected([11 , 0])
collected([12 , 5])
emerging([37 , 13], [36 , 13], [35 , 13])
emerging([12 , 9], [11 , 9], [10 , 9])
s(20)
m(100)
g(42)
t(10)
w(20)
p(1)
l(1)
ll(1)
x(3)
y(5)
